category,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
up_slowed,2182.7,2193.83,2208.71,2211.95,2216.13,2224.24,2232.84,2234.76,2239.13,2248.25,2253.23,2255.24
up_slowed,2143.38,2163.59,2166.55,2175.8,2187.12,2197.01,2206.54,2218.63,2222.32,2223.95,2230.65,2232.05
up_slowed,2023.89,2033.38,2046.88,2057.91,2058.48,2066.47,2073.28,2074.75,2082.29,2086.56,2091.76,2093.3
up_slowed,3944.13,3956.47,3969.89,3966.35,3979.44,3983.16,3996.77,3991.03,3996.35,4002.5,4001.76,4012.76
up_slowed,3168.23,3182.43,3186.21,3187.46,3191.43,3199.67,3199.01,3211.52,3213.61,3212.87,3213.11,3224.85
neutral,7454.15,9429.23,9213.69,8465.92,5547.19,6972.83,6931.53,9615.51,9073.67,12351.34,12887.27,13552.34
neutral,8790.49,9398.81,9722.77,11627.93,10683.95,11042.17,11208.64,10194.59,10656.31,12434.14,12671.35,11681.24
neutral,5552.87,4582.53,4724.12,5376.55,3701.64,5286.56,5255.58,3909.36,5200.15,6923.37,5249.03,4017.35
neutral,7421.53,7320.11,7491.98,6274.0,6222.88,7180.31,6531.21,5492.43,5365.29,4986.01,5489.77,5325.36
neutral,6062.77,7571.6,7233.69,6366.66,6521.5,5474.79,4378.57,4053.38,3186.77,2578.18,2841.47,3983.14
neutral,149.79,129.19,117.52,108.09,111.06,106.26,81.97,77.12,73.06,82.75,44.24,60.01
neutral,324.48,349.43,338.61,341.43,370.02,344.29,332.09,348.53,331.54,356.86,346.69,356.84
neutral,197.01,192.42,181.35,214.42,200.82,196.33,228.3,225.99,194.75,225.72,227.95,227.41
neutral,140.5,197.68,127.45,173.86,118.25,101.17,155.55,94.13,66.65,91.11,128.79,146.15
neutral,380.63,396.37,401.75,411.08,408.08,407.5,406.61,406.61,454.07,455.71,453.31,440.33
neutral,3982.09,3984.42,3957.52,3969.9,3943.77,3925.98,3923.2,3916.1,3948.72,3938.23,3936.08,3942.83
neutral,2028.14,2004.09,2032.44,2019.77,2020.74,2017.78,2014.0,2015.4,1997.28,1982.33,2001.6,2020.61
neutral,2750.34,2771.05,2779.23,2776.94,2780.68,2765.17,2760.34,2776.5,2755.17,2747.79,2735.23,2719.35
neutral,2359.73,2370.17,2377.55,2371.87,2377.11,2373.91,2386.37,2404.85,2394.91,2391.13,2368.3,2384.63
neutral,3259.44,3244.9,3235.57,3247.58,3255.05,3256.98,3262.8,3263.64,3259.09,3263.82,3270.19,3265.23
down_slowed,10992.4,10335.04,10226.7,9625.55,9292.42,8699.44,8418.17,7875.02,7506.41,7516.59,6392.3,6353.08
down_slowed,15344.94,15462.1,14322.26,14025.84,14467.57,12653.79,12512.78,10974.15,10480.51,10399.82,8331.5,7765.74
down_slowed,11755.73,11362.33,10666.72,9190.45,8948.36,8529.87,7952.73,7551.17,6624.28,5174.53,4919.73,3470.29
down_slowed,16212.54,15576.71,14866.81,13734.45,13987.36,13333.48,12759.37,11532.47,10921.22,10976.16,9669.04,8519.22
down_slowed,17529.64,16379.67,16078.89,15268.8,14682.19,14110.14,13675.96,12684.67,12658.55,10923.99,10243.88,8574.18
down_slowed,504.11,470.01,473.79,467.05,447.04,442.49,414.28,416.62,408.5,366.84,345.23,328.81
down_slowed,438.65,428.64,407.85,399.6,386.45,375.55,368.3,356.17,351.99,312.55,309.53,266.68
down_slowed,616.4,617.97,606.62,598.92,586.96,591.91,557.71,546.28,532.42,518.31,500.61,486.62
down_slowed,334.03,301.72,286.05,285.34,261.2,258.19,238.52,205.21,217.67,200.52,153.86,119.32
down_slowed,653.86,641.71,631.88,631.64,596.29,575.64,554.63,544.68,533.93,532.34,486.94,457.69
down_slowed,3786.62,3770.36,3765.54,3766.14,3759.44,3758.23,3747.64,3737.89,3734.73,3729.23,3719.43,3704.31
down_slowed,3484.76,3476.25,3467.24,3462.78,3461.23,3446.47,3444.87,3434.67,3428.9,3425.78,3411.43,3395.14
down_slowed,3328.65,3329.37,3317.39,3314.72,3310.32,3309.81,3299.6,3295.53,3290.91,3283.31,3273.98,3264.24
down_slowed,2687.9,2678.83,2681.25,2663.76,2661.78,2659.41,2657.79,2643.72,2633.95,2635.86,2611.68,2592.54
down_slowed,2412.41,2414.37,2406.32,2396.53,2386.9,2389.87,2381.84,2371.01,2371.67,2349.66,2337.15,2324.14
down,9775.74,9369.24,8233.67,8524.75,7414.96,7209.62,6349.17,5783.62,5217.73,4573.83,4035.16,3659.56
down,2231.61,1896.69,1225.44,1151.48,142.21,311.29,-627.34,-1450.41,-1516.92,-2190.85,-2266.9,-3116.3
down,3639.0,2346.53,2012.92,2192.35,1580.93,837.96,-257.0,-563.57,-1168.61,-2182.52,-1894.82,-2728.4
down,6089.34,5064.32,5058.36,4490.71,3952.08,3675.52,3741.18,2991.61,2228.14,2058.22,1808.43,1230.72
down,1310.35,206.42,-0.4,-928.63,-1504.25,-2412.93,-3026.73,-4514.66,-4499.59,-5784.2,-5758.2,-7761.92
down,304.92,290.63,276.3,267.01,252.12,226.89,215.9,218.92,199.58,172.66,153.47,138.44
down,177.65,150.52,152.62,139.43,114.66,116.67,77.87,60.59,59.5,51.14,41.22,7.94
down,293.05,285.91,266.72,228.81,240.37,222.44,186.62,179.16,163.05,143.83,119.2,101.03
down,488.41,484.75,470.3,454.16,450.17,418.06,430.92,403.13,400.53,385.32,373.55,377.31
down,409.12,401.81,389.26,371.29,373.9,355.19,338.9,335.0,335.63,321.67,304.61,294.33
down,2071.95,2074.47,2059.22,2051.53,2046.24,2034.92,2024.86,2017.24,2009.89,2002.15,1997.57,1986.75
down,2080.74,2073.36,2068.71,2057.78,2060.86,2054.16,2050.88,2034.86,2043.74,2032.39,2030.79,2019.66
down,2401.1,2404.11,2387.7,2381.8,2376.92,2367.75,2358.7,2351.99,2352.91,2335.01,2328.48,2324.43
down,2066.11,2057.73,2046.3,2028.93,2033.55,2011.36,2009.57,1995.69,1990.25,1983.37,1974.56,1966.26
down,3132.97,3130.32,3123.4,3104.99,3105.02,3097.57,3085.33,3084.7,3070.16,3063.46,3054.26,3047.18
